month,quarter,fiscal_year,Diesel Vehicles,Electric Vehicles,Petrol Vehicles
Apr,Q1,2019,23098,477,140694
May,Q1,2019,25605,287,143436
Jun,Q1,2019,29331,328,141494
Jul,Q2,2019,23550,383,131449
Aug,Q2,2019,23525,256,126787
Sep,Q2,2019,21265,303,99348
Oct,Q3,2019,39508,352,219024
Nov,Q3,2019,28924,399,149122
Dec,Q3,2019,32410,365,118792
Jan,Q4,2019,32068,170,127774
Feb,Q4,2019,35158,209,146868
Mar,Q4,2019,27348,614,125096
