month,quarter,fiscal_year,Diesel Vehicles,Electric Vehicles,Petrol Vehicles
Apr,Q1,2020,1652,0,341
May,Q1,2020,9491,50,58963
Jun,Q1,2020,18478,177,140052
Jul,Q2,2020,16687,253,119936
Aug,Q2,2020,13220,240,124697
Sep,Q2,2020,19731,163,119227
Oct,Q3,2020,27230,321,175613
Nov,Q3,2020,21964,363,167200
Dec,Q3,2020,20897,524,131055
Jan,Q4,2020,20161,675,137071
Feb,Q4,2020,20694,1479,129701
Mar,Q4,2020,21940,1735,129945
