Date,Documents Reg. Count,Estamps Challans Count
2022-04-01 00:00:00,106000,109522
2022-05-01 00:00:00,104832,109611
2022-06-01 00:00:00,102292,105970
2022-07-01 00:00:00,95846,98843
2022-08-01 00:00:00,92401,96768
2022-09-01 00:00:00,98286,102162
2022-10-01 00:00:00,83444,86507
2022-11-01 00:00:00,100526,105820
2022-12-01 00:00:00,109515,111806
2023-01-01 00:00:00,96256,102968
2023-02-01 00:00:00,101647,104039
2023-03-01 00:00:00,116028,120945
