Date,Documents Reg. Count,Estamps Challans Count
2020-04-01 00:00:00,4492,0
2020-05-01 00:00:00,73005,0
2020-06-01 00:00:00,136196,0
2020-07-01 00:00:00,126672,0
2020-08-01 00:00:00,104469,0
2020-09-01 00:00:00,23255,0
2020-10-01 00:00:00,480,0
2020-11-01 00:00:00,277,0
2020-12-01 00:00:00,47019,54241
2021-01-01 00:00:00,147889,153097
2021-02-01 00:00:00,137407,140062
2021-03-01 00:00:00,142732,148732
