month,quarter,fiscal_year,Diesel Vehicles,Electric Vehicles,Petrol Vehicles
Apr,Q1,2021,17006,938,107965
May,Q1,2021,10888,351,57942
Jun,Q1,2021,21934,1336,113917
Jul,Q2,2021,19452,1931,117253
Aug,Q2,2021,16013,1970,118016
Sep,Q2,2021,14600,1981,91075
Oct,Q3,2021,20974,2717,147301
Nov,Q3,2021,13395,2634,125377
Dec,Q3,2021,15002,2557,107833
Jan,Q4,2021,14526,3465,95716
Feb,Q4,2021,16558,5304,107559
Mar,Q4,2021,18998,5820,110769
